ID,ZoneName,AreaName_lang,ContinentID
1,DunMorogh,Dun Morogh,0
2,Longshore,Longshore,0
3,Badlands,Badlands,0
4,BlastedLands,Blasted Lands,0
5,GLOBAL,- QA and DVD GLOBAL -,606
7,DarkwaterCove,Blackwater Cove,0
8,SwampofSorrows,Swamp of Sorrows,0
9,NorthshireValley,Northshire Valley,0
10,Duskwood,Duskwood,0
11,Wetlands,Wetlands,0
12,ElwynnForest,Elwynn Forest,0
13,TheWorldTree,The World Tree,0
14,Durotar,Durotar,1
15,Dustwallow,Dustwallow Marsh,1
16,Azshara,Azshara,1
17,TheBarrens,Northern Barrens,1
18,CrystalLake,Crystal Lake,0
19,ZulGurub,Zul'Gurub,0
20,Moonbrook,Moonbrook,0
21,KulTiras,Kul Tiras,0
22,ProgrammerIsle,Programmer Isle,451
23,NorthshireRiver,Northshire River,0
24,Northshireabbey,Northshire Abbey,0
25,BlackrockMountain,Blackrock Mountain,0
26,Lighthouse,Lighthouse,0
28,WesternPlaguelands,Western Plaguelands,0
30,Nine,Nine,0
32,TheCemetary,The Cemetary,0
33,StranglethornJungle,Northern Stranglethorn,0
34,EchoRidgeMine,Echo Ridge Mine,0
35,BootyBay,Booty Bay,0
36,AlteracMountains,Alterac Mountains,0
37,LakeNazferiti,Lake Nazferiti,0
38,LochModan,Loch Modan,0
40,Westfall,Westfall,0
41,DeadwindPass,Deadwind Pass,0
42,Darkshire,Darkshire,0
43,WildShore,Wild Shore,0
44,RedridgeMountains,Redridge Mountains,0
45,ArathiHighlands,Arathi Highlands,0
46,BurningSteppes,Burning Steppes,0
47,TheHinterlands,The Hinterlands,0
49,DeadMansHole,Dead Man's Hole,451
51,SearingGorge,Searing Gorge,0
53,ThievesCamp,Thieves Camp,0
54,JasperlodeMine,Jasperlode Mine,0
55,ValleyofHeroesUNUSED,Valley of Heroes UNUSED,0
56,Heroes'Vigil,Heroes' Vigil,0
57,FargodeepMine,Fargodeep Mine,0
59,NorthshireVineyards,Northshire Vineyards,0
60,Forest'sEdge,Forest's Edge,0
61,ThunderFalls,Thunder Falls,0
62,PumpkinPatch,Brackwell Pumpkin Patch,0
63,TheStonefieldFarm,The Stonefield Farm,0
64,TheMaclureVineyards,The Maclure Vineyards,0
65,Dragonblight,Dragonblight,571
66,ZulDrak,Zul'Drak,571
67,TheStormPeaks,The Storm Peaks,571
68,LakeEverstill,Lake Everstill,0
69,Lakeshire,Lakeshire,0
70,Stonewatch,Stonewatch,0
71,StonewatchFalls,Stonewatch Falls,0
72,TheDarkPortal,The Dark Portal,0
73,TheTaintedScar,The Tainted Scar,0
74,PoolofTears,Pool of Tears,0
75,Stonard,Stonard,0
76,FallowSanctuary,Fallow Sanctuary,0
77,Anvilmar,Anvilmar,0
80,StormwindMountains,Stormwind Mountains,0
81,JeffNEQuadrantChanged,Jeff NE Quadrant Changed,451
82,JeffNWQuadrant,Jeff NW Quadrant,451
83,JeffSEQuadrant,Jeff SE Quadrant,451
84,JeffSWQuadrant,Jeff SW Quadrant,451
85,TirisfalGlades,Tirisfal Glades,0
86,StoneCircleLake,Stone Cairn Lake,0
87,Goldshire,Goldshire,0
88,EastvaleLoggingCamp,Eastvale Logging Camp,0
89,ThunderFallsOrchard,Mirror Lake Orchard,0
91,TowerofAzora,Tower of Azora,0
92,MirrorLake,Mirror Lake,0
93,Vul'GolOgreMound,Vul'Gol Ogre Mound,0
94,RavenHill,Raven Hill,0
95,RedridgeCanyon,Redridge Canyons,0
96,TowerofIlgalar,Tower of Ilgalar,0
97,Alther'sMill,Alther's Mill,0
98,RethbanCaverns,Rethban Caverns,0
99,RebelCamp,Rebel Camp,0
100,Nesingwary'sExpedition,Nesingwary's Expedition,0
101,Kurzen'sCompound,Kurzen's Compound,0
102,RuinsofZul'Kunda,Ruins of Zul'Kunda,0
103,RuinsofZul'Mamwe,Ruins of Zul'Mamwe,0
104,TheVileReef,The Vile Reef,0
105,Mosh'OggOgreMound,Mosh'Ogg Ogre Mound,0
106,TheStockpile,The Stockpile,0
107,Saldean'sFarm,Saldean's Farm,0
108,SentinelHill,Sentinel Hill,0
109,Furlbrow'sPumpkinFarm,Furlbrow's Pumpkin Farm,0
111,JangolodeMine,Jangolode Mine,0
113,GoldCoastQuarry,Gold Coast Quarry,0
115,WestfallLighthouse,Westfall Lighthouse,0
116,MistyValley,Misty Valley,0
117,Grom'golBaseCamp,Grom'gol Base Camp,0
118,Whelgar'sExcavationSite,Whelgar's Excavation Site,0
120,WestbrookGarrison,Westbrook Garrison,0
121,TranquilGardensCemetery,Tranquil Gardens Cemetery,0
122,ZuuldaiaRuins,Zuuldaia Ruins,0
123,Bal'lalRuins,Bal'lal Ruins,0
125,Kal'aiRuins,Kal'ai Ruins,0
126,TkashiRuins,Tkashi Ruins,0
127,Balia'mahRuins,Balia'mah Ruins,0
128,Ziata'jaiRuins,Ziata'jai Ruins,0
129,MizjahRuins,Mizjah Ruins,0
130,SilverpineForest,Silverpine Forest,0
131,Kharanos,Kharanos,0
132,ColdridgeValley,Coldridge Valley,0
133,Gnomeregan,New Tinkertown,0
134,GolBolarQuarry,Gol'Bolar Quarry,0
135,FrostmaneHold,Frostmane Hold,0
136,TheGrizzledDen,The Grizzled Den,0
137,BrewnallVillage,Brewnall Village,0
138,MistyPineRefuge,Misty Pine Refuge,0
139,EasternPlaguelands,Eastern Plaguelands,0
141,Teldrassil,Teldrassil,1
142,Ironband'sExcavationSite,Ironband's Excavation Site,0
143,Mo'groshStronghold,Mo'grosh Stronghold,0
144,Thelsamar,Thelsamar,0
